geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.323	0.348	0.363	0.867	0.192	0.301	0.196	0.904	0.129108058238114	8.98531852613845e-12	0.26863354805314
EE	0.978	0.968	0.982	0.816	0.767	0.623	0.819	0.921	0.576717824807786	0.0661807175564972	0.724835026343673
meanDE	0.732	0.671	0.44	0.061	0.896	0.906	0.788	0.091	0.990289114777021	0.000208861288498547	0.0340780259867053
EE	0.099	0.102	0.081	0.207	0.143	0.127	0.126	0.303	0.194976532650594	0.027295927119995	0.0668320232297
EE	0.934	0.758	0.971	0.956	0.779	0.93	0.918	0.892	0.781123602789545	0.815534763439047	0.699457240463224
meanDE	0.39	0.444	0.584	0.867	0.534	0.601	0.876	0.741	0.522640186094987	0.137966341223211	0.604928774723545
EE	0.544	0.457	0.447	0.38	0.896	0.856	0.797	0.669	0.892351003805765	0.0963109179528037	0.812034152870902
EE	0.583	0.524	0.352	0.415	0.325	0.415	0.351	0.684	0.244924616013312	1.7241700945136e-06	0.111252760134694
EE	0.828	0.805	0.956	0.123	0.96	0.927	0.995	0.482	0.972487716521462	0.391789057042763	0.646157653092632
meanDE	0.935	0.967	0.984	0.998	0.91	0.953	0.968	0.962	0.913249895914569	0.122581381749956	0.466971463565843
EE	0.339	0.308	0.35	0.719	0.575	0.451	0.599	0.644	0.540123601623318	0.000178158141466907	0.284891500418978
EE	0.091	0.093	0.089	0.535	0.008	0.008	0.008	0.69	0.0113577475686169	5.38856707903629e-73	0.000217220404645377
EE	0.225	0.18	0.217	0.011	0.186	0.14	0.143	0.008	0.0362173106517542	2.79665181086416e-23	0.0763014493849551
EE	0.573	0.47	0.542	0.917	0.378	0.327	0.579	1	0.541646081123134	0.00587611048455805	0.357205061075242
EE	0.027	0.088	0.016	0.169	0.044	0.099	0.054	0.131	0.113740460215245	3.00330941604008e-08	0.0411870380226485
varDE	0.449	0.268	0.307	0.213	0.205	0.117	0.116	0.128	0.35289864395611	1.20618062470425e-12	0.0159997282856997
EE	0.826	0.948	0.839	0.965	0.512	0.7	0.682	0.597	0.392859277903387	0.219424908052479	0.845400117116159
EE	0.828	0.718	0.926	0.803	0.376	0.374	0.603	0.788	0.497289835960265	0.253970641384092	0.757954409656905
meanDE	0.799	0.841	0.566	0.347	0.703	0.81	0.347	0.265	0.191317429413346	0.000554186117221276	0.858886580444722
EE	0.708	0.587	0.72	0.938	0.345	0.28	0.578	0.765	0.456923885573626	0.603227519140253	0.955433078675059
EE	0.391	0.496	0.405	0.871	0.464	0.618	0.533	0.966	0.270430445376138	1.84750114817927e-07	0.0180312064624787
EE	0.167	0.212	0.215	0.355	0.069	0.127	0.082	0.197	0.324419606724484	5.70217048710238e-08	0.022634035918412
EE	0.31	0.318	0.521	0.368	0.197	0.183	0.399	0.293	0.248573175045222	0.0402293044110962	0.357129122460578
EE	0.612	0.886	0.562	0.557	0.641	0.916	0.404	0.442	0.23527277095815	0.00155152880758494	0.874101712655463
EE	0.959	0.986	0.812	0.892	0.946	0.878	0.974	0.991	0.923224099081837	0.0163352669487115	0.632274750747283
EE	0.24	0.302	0.349	0.431	0.115	0.131	0.215	0.208	0.351315672210904	0.000110289542592492	0.0205342669206455
EE	0.42	0.216	0.504	0.411	0.823	0.422	0.945	0.541	0.557278591136287	0.111383232435621	0.280603376004776
varDE	0.512	0.278	0.229	0.452	0.587	0.214	0.198	0.167	0.247895499580359	1.18112264344585e-08	0.0239743829072159
EE	0.591	0.723	0.518	0.027	0.728	0.938	0.79	0.008	0.323674307516563	0.00825498464238322	0.606163042064589
EE	0.138	0.124	0.159	0.237	0.22	0.228	0.238	0.473	0.346110295861609	3.0022370639395e-06	0.0323234939164351
EE	0.084	0.044	0.055	0.045	0.096	0.036	0.072	0.052	0.0200783492686752	4.32752267536606e-15	0.00811592755527957
EE	0.337	0.288	0.626	0.494	0.418	0.516	0.697	0.626	0.893379488210372	0.364520783457296	0.30252159228371
EE	0.173	0.061	0.354	0.301	0.237	0.11	0.413	0.487	0.151994954625213	0.00018185282692495	0.402823165707421
