gene	DDcategory	Clusters.combined	Clusters.c1	Clusters.c2	nonzero.pvalue	nonzero.pvalue.adj	zero.pvalue	zero.pvalue.adj	combined.pvalue	combined.pvalue.adj
gene2551	DB	1	1	2	1.01065578128612e-09	2.77366938260341e-09	0.114832136542588	0.170289629255499	2.77105768060588e-09	5.44947429814333e-09
gene2552	DE	1	1	1	5.72122238473582e-10	1.635803398066e-09	4.72489506396857e-08	1.94816678436519e-07	1.05829625472491e-15	3.59506158717591e-15
gene2553	DB	1	1	2	7.9468275548944e-07	1.33756828190943e-06	0.697487201228829	0.76176954159331	8.53902881493882e-06	1.10645012179317e-05
gene2554	DB	1	1	2	0.000156992257084432	0.000186616570551609	0.738620496622049	0.796256786048487	0.00116679942558336	0.00124958439152167
gene2555	DE	1	1	1	7.19779680302679e-10	2.02747154588608e-09	0.943683201581161	0.958177447251549	1.50181123410729e-08	2.70779577932349e-08
gene2556	DB	1	1	3	4.00790511889682e-14	2.13186442494511e-13	0.00010135678334768	0.000278705022343793	1.66735566969801e-16	5.99229351194255e-16
gene2557	NS	1	1	1	1.8018121217267e-05	2.44853014673239e-05	0.215509973440807	0.293373770856538	5.22619752608247e-05	6.26642389218521e-05
gene2558	DB	1	1	2	3.03942671031621e-09	7.69231688786133e-09	6.11691756601554e-07	2.22709256306592e-06	6.49204546837044e-14	1.96817341842149e-13
gene2559	DB	1	1	2	1.19857810410018e-06	1.962469265821e-06	0.445954935316263	0.535898643399987	8.2538844962328e-06	1.07123744272976e-05
gene2560	DB	1	1	2	0.000901435223570779	0.00098369687471917	0.239094507223451	0.319872380545305	0.00203510761655573	0.00215554891201454
gene2561	DB	1	1	2	0	0	0.0402231467767988	0.0680797611230669	0	0
gene2562	DB	1	1	2	0.000461217684647908	0.000518878002697688	0.42564656617457	0.516447029643953	0.00187202480047101	0.00198518006412621
gene2563	DB	1	1	2	5.93941241233686e-05	7.52181404126878e-05	0.00660051454875327	0.0133394431216466	6.17525438998932e-06	8.14140328278091e-06
gene2564	DB	1	1	2	0	0	0.00707315726903336	0.014201351655371	0	0
gene2565	NS	1	3	3	3.54779575671982e-05	4.63764151205205e-05	0.109369046490246	0.163064865400835	5.22259127685275e-05	6.26303855716115e-05
gene2566	DB	1	1	2	1.850555264582e-10	5.76496967159501e-10	6.31123330016094e-14	4.7180892680362e-13	6.28394936804826e-22	2.92446741968506e-21
gene2567	NS	1	1	1	3.43587235218656e-07	6.14921226342114e-07	0.955368577696604	0.967096083649093	5.22889174952599e-06	6.9533134967101e-06
gene2568	DB	1	1	3	1.40575551199618e-10	4.4521156357757e-10	3.02219022328532e-51	3.89911283807407e-49	5.94831781311181e-59	4.45984465837811e-58
gene2569	DB	1	1	2	2.03089212114094e-10	6.29002592687863e-10	0.564283574422218	0.646569877066799	2.73774296221713e-09	5.38528244350554e-09
gene2570	DB	1	1	2	4.42347491969031e-10	1.29720672131681e-09	5.3176967651342e-38	3.12766591355209e-36	2.54906351122149e-45	1.83716289097044e-44
gene2571	DB	1	1	2	0.000943858873505676	0.00102704991676352	2.04548667815947e-05	6.20236843767915e-05	3.62244595296556e-07	5.53784972744592e-07
gene2572	DB	1	1	2	5.91557860168956e-05	7.49756476766738e-05	0.237671460652166	0.318234685931817	0.000171136805125745	0.000195808701516871
gene2573	DB	1	1	2	1.14972044709116e-05	1.60856305993867e-05	0.662755564598449	0.733146419751486	9.74177446497375e-05	0.000113955542798348
gene2574	DZ	1	1	1	0.00404973046184731	0.00421407956487754	0.0106420380869382	0.0205816399074997	0.000476314386056673	0.000525298468218002
gene2575	NS	1	1	1	6.00426994962211e-05	7.59673566297278e-05	0.0804474726182117	0.124927069204635	6.39558768414754e-05	7.61946410620704e-05
gene2576	DB	1	1	2	5.36302199205529e-07	9.29265235790391e-07	0.00405514264898953	0.00853382953150941	4.5553715978511e-08	7.77367166868789e-08
gene2577	DE	1	1	1	1.27467087104316e-05	1.77126716131753e-05	2.15981353768652e-17	2.25834620757574e-16	1.39425981674556e-20	6.13873337037119e-20
