geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
varDE	0.433	0.496	0.232	0.238	0.443	0.497	0.229	0.218	0.766789978427871	7.72757362554822e-05	0.0688488562968014	0.0236144989533475
EE	0.662	0.503	0.678	0.36	0.646	0.407	0.618	0.309	0.859062617892338	0.826167980429805	0.927805070722803	0.271965616970412
EE	0.149	0.109	0.088	0.074	0.164	0.102	0.09	0.069	0.522546898140226	0.577318974865525	0.716492192921989	0.358774285747881
EE	0.294	0.444	0.063	0.112	0.316	0.489	0.045	0.118	0.656251744286595	0.0420717756637553	0.142381393300918	0.639617384643649
varDE	0.045	0.055	0.146	0.041	0.032	0.043	0.089	0.035	0.65319532502366	0.00395950028106735	0.0284266461616371	0.634753762355386
varDE	0.426	0.301	0.233	0.098	0.349	0.239	0.185	0.089	0.313423117475271	6.13374551246898e-16	0.230616146166714	2.45205243255555e-15
EE	0.429	0.341	0.416	0.331	0.398	0.324	0.358	0.307	0.940280380323402	0.899820897524763	0.670028353902003	0.666630705350298
EE	0.852	0.74	0.785	0.473	0.869	0.722	0.781	0.471	0.777887988459405	0.434172436605532	0.700161958185053	0.382575819666604
meanDE	0.811	0.732	0.745	0.737	0.815	0.738	0.767	0.74	0.550623484164984	0.0464458414478201	0.519079190670009	0.232883246784646
EE	0.425	0.419	0.61	0.267	0.436	0.399	0.59	0.261	0.891113571628175	0.545820196312404	0.597371270077543	0.351564709373001
EE	0.5	0.684	0.824	0.801	0.456	0.626	0.757	0.754	0.507056152310205	0.00149263418804264	0.837366216664331	0.000334300688800884
varDE	0.528	0.291	0.551	0.586	0.447	0.233	0.561	0.604	0.795389408872709	0.000647354537754583	0.0487886363752467	0.00582285438498704
EE	0.97	0.651	0.856	0.696	0.957	0.619	0.838	0.68	0.678000917385028	0.346416494624683	0.854550125142246	0.117637901931433
EE	0.92	0.909	0.723	0.84	0.881	0.9	0.709	0.815	0.821772805897278	0.924939531405181	0.704855094188786	0.700024455010875
EE	0.944	0.844	0.944	0.702	0.945	0.851	0.955	0.659	0.869210711154418	0.839421112685877	0.747871617448613	0.687804209507863
EE	0.262	0.358	0.161	0.592	0.262	0.374	0.179	0.595	0.354732144353549	0.159303567441465	0.507889257094032	0.0780326725531982
EE	0.92	0.58	0.603	0.749	0.934	0.614	0.606	0.666	0.290366190875109	0.287694632934973	0.428925774582044	0.0910682392076011
EE	0.496	0.391	0.282	0.2	0.468	0.369	0.274	0.171	0.05919498748424	5.05809383496864e-05	0.020755352234368	4.48051735979009e-06
varDE	0.839	0.854	0.614	0.236	0.843	0.876	0.658	0.218	0.53146078737245	0.0114097279667651	0.539704070165965	0.00656817755246718
EE	0.973	0.893	0.762	0.272	0.981	0.891	0.765	0.243	0.798322865122613	0.651812126553728	0.62869965769848	0.678817380938801
EE	0.933	0.928	0.871	0.914	0.945	0.913	0.876	0.883	0.507491354831517	0.711711978334942	0.666684928375235	0.61252163840931
meanDE	0.123	0.119	0.035	0.674	0.116	0.114	0.051	0.694	0.0152202478054178	0.00359483663901942	0.00784342292870134	0.00145122166247814
EE	0.931	0.834	0.815	0.915	0.929	0.831	0.811	0.937	0.952356270960378	0.225227317766187	0.357848083627494	0.998054844017636
EE	0.116	0.107	0.142	0.163	0.089	0.097	0.135	0.139	0.0333894531940074	2.58168352168546e-22	0.03244750725045	1.31607586952441e-18
meanDE	0.285	0.375	0.223	0.36	0.268	0.36	0.203	0.373	0.0391943409873037	0.000243318055053804	0.0240783772086584	0.00234088117170433
EE	0.113	0.158	0.265	0.17	0.112	0.13	0.217	0.149	0.0409110412258548	5.96635481987903e-20	0.0640421194021058	1.18741786273667e-16
EE	0.613	0.786	0.911	0.531	0.571	0.771	0.91	0.514	0.7204101691689	0.00388491951191157	0.494758475969556	0.956840534911078
EE	0.493	0.597	0.687	0.816	0.489	0.59	0.69	0.795	0.654578817716274	0.402383823448614	0.865589622393539	0.253088099047105
varDE	0.178	0.088	0.339	0.043	0.142	0.056	0.301	0.026	0.59799523066608	0.000198915235790808	0.0448002059412636	0.723700310639459
EE	0.48	0.319	0.344	0.115	0.496	0.339	0.384	0.123	0.556728295250187	0.00039226654579939	0.51236047335441	0.000332091891305935
EE	0.152	0.161	0.336	0.393	0.114	0.086	0.238	0.248	0.30479615127469	0.135226300447477	0.204104162012629	0.0239400879710145
EE	0.388	0.355	0.718	0.722	0.405	0.405	0.732	0.697	0.417562465487472	0.261541945197399	0.890681243310952	0.0837982721733162
EE	0.836	0.783	0.877	0.54	0.841	0.82	0.89	0.515	0.775139190550545	0.46198657021817	0.661227497376778	0.283607328475299
