geneType	pval_M_zinb	pval_M_kde	pval_S0_zinb	pval_S0_kde	pval_S1_zinb	pval_S1_kde	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.014	0.015	0.013	0.01	0.017	0.015	0.00166240819673409	6.55218347866933e-26	0.00798045075361432
EE	0.077	0.043	0.074	0.058	0.063	0.065	0.149402757165424	0.00085407405702417	0.13024577386897
EE	0.627	0.793	0.642	0.867	0.632	0.79	0.940397192319519	0.0169005176763058	0.863279907630962
EE	0.967	0.732	0.956	0.673	0.951	0.656	0.994853448752058	0.323319101317277	0.935549799998312
EE	0.601	0.28	0.571	0.262	0.622	0.298	0.508013509804609	0.336681832516921	0.575284777357939
meanDE	0.007	0.086	0.003	0.121	0.004	0.103	8.77728403025681e-07	1.03045219155617e-14	7.96010507274071e-05
EE	0.528	0.894	0.524	0.856	0.557	0.891	0.646271319702477	0.499627049849949	0.714978750179958
EE	0.14	0.182	0.168	0.186	0.142	0.204	0.384372855636924	0.00122235607827687	0.410084817825515
EE	0.257	0.196	0.202	0.143	0.213	0.167	0.332113852692736	0.0184552285460158	0.448530797060414
EE	0.526	0.878	0.52	0.934	0.534	0.902	0.957963798831978	0.0781081091440237	0.500041958292124
EE	0.185	0.179	0.205	0.243	0.194	0.236	0.168147492047339	5.76589118873036e-08	0.12662354996808
EE	0.464	0.126	0.511	0.147	0.463	0.136	0.653217832150432	0.272399360956102	0.402205485850482
EE	0.184	0.297	0.205	0.305	0.171	0.279	0.418085368992332	0.0154510654501288	0.244823345706657
EE	0.298	0.125	0.286	0.141	0.304	0.129	0.915396145798806	0.680426407435494	0.843020249030526
EE	0.397	0.528	0.424	0.551	0.368	0.558	0.647778477024339	0.000835909672438205	0.828533771609467
varDE	0.014	0.072	0.007	0.054	0.008	0.057	0.371552764769556	1.19001273843419e-07	0.117847463117944
EE	0.213	0.239	0.229	0.245	0.235	0.257	0.0699287476135157	0.000192716365979253	0.0356122721652
EE	0.11	0.076	0.14	0.094	0.148	0.095	0.0582530357489272	2.52710485520305e-15	0.178180763713257
EE	0.829	0.986	0.798	0.957	0.777	0.792	0.753613492232356	0.0270762448526063	0.968146565323972
EE	0.548	0.491	0.529	0.471	0.552	0.487	0.42707585746144	4.51126878740202e-05	0.067912590875698
EE	0.454	0.485	0.454	0.475	0.438	0.454	0.372002875075427	2.32506114953647e-07	0.44487379781474
EE	0.671	0.499	0.721	0.49	0.549	0.46	0.0324398294205298	3.3516078224702e-05	0.0465953806903315
varDE	0.083	0.178	0.083	0.183	0.067	0.147	0.459504881215757	1.84140089938073e-10	3.96656228593332e-05
meanDE	0.112	0.131	0.065	0.075	0.062	0.077	0.123467784375154	9.36218883477795e-05	0.0607653418559507
EE	0.946	0.343	0.918	0.298	0.935	0.351	0.774133115632228	0.854281351900995	0.948284287610589
varDE	0.021	0.079	0.017	0.066	0.018	0.08	0.593826081858455	4.13186698878324e-07	0.00173205875699078
EE	0.164	0.241	0.216	0.285	0.215	0.299	0.228838797821946	1.9469743070041e-09	0.121688613140508
EE	0.264	0.972	0.291	0.981	0.276	0.976	0.941690731415667	0.992756767278658	0.965987693699818
varDE	0.003	0.001	0.002	0.001	0.005	0.004	0.528573979373578	1.90866415288661e-05	0.164802527980911
EE	0.245	0.401	0.184	0.381	0.23	0.39	0.148241131997753	8.60922636737502e-06	0.135637413588181
EE	0.207	0.615	0.228	0.672	0.215	0.63	0.437963431282753	0.288108596772465	0.267363246182701
EE	0.11	0.257	0.138	0.292	0.121	0.239	0.0777588067227702	1.81119225346529e-10	0.0195333959401103
EE	0.822	0.84	0.858	0.812	0.773	0.821	0.322922297511215	0.353531009874252	0.493853048940545
EE	0.273	0.552	0.282	0.552	0.267	0.596	0.0700937283026951	0.0135991108146344	0.260717565879447
EE	0.968	0.488	0.969	0.445	0.971	0.449	0.367541857742742	0.0044868360527469	0.538204868638515
EE	0.814	0.848	0.733	0.77	0.79	0.839	0.876294086218655	0.523698925690014	0.526691074804018
EE	0.929	0.682	0.914	0.639	0.847	0.578	0.847496072498945	0.00189598228006121	0.892754831894879
EE	0.613	0.915	0.608	0.885	0.648	0.886	0.022056599894329	0.00023496554799765	0.00219067080278906
varDE	0.367	0.169	0.28	0.159	0.336	0.187	0.0383511363166042	3.09046654380706e-16	0.0208014174322738
EE	0.92	0.881	0.967	0.892	0.909	0.861	0.559420563707706	0.387042794145512	0.340489832949494
EE	0.241	0.798	0.225	0.735	0.207	0.746	0.122246256084914	0.000676919528379518	0.0657019602383544
EE	0.199	0.102	0.241	0.125	0.175	0.102	0.00583184836995859	2.47070165413966e-12	0.00530395525136775
EE	0.686	0.886	0.738	0.877	0.727	0.883	0.915478259253334	0.683718697315781	0.966637234863148
varDE	0.278	0.025	0.271	0.018	0.219	0.021	0.659816409738934	8.97344037962922e-11	0.0491894304623605
meanDE	0.93	0.955	0.968	0.943	0.939	0.942	0.539225078430577	0.143559488715285	0.435302936745717
EE	0.579	0.483	0.59	0.532	0.599	0.486	0.277623155644339	0.015553303676969	0.307109519142033
EE	0.534	0.671	0.513	0.647	0.553	0.717	0.336814765353362	0.0531183643711833	0.0482440068159935
varDE	0.566	0.066	0.606	0.062	0.646	0.062	0.369150438190242	1.80032908357862e-11	0.000851796433553351
EE	0.506	0.849	0.525	0.855	0.509	0.833	0.191336347664827	0.0291960949566015	0.274348183783719
EE	0.205	0.18	0.216	0.181	0.228	0.166	0.304328858324629	0.00118888649003689	0.440358018738835
EE	0.61	0.351	0.574	0.302	0.596	0.307	0.211429772277638	0.000107212887836762	0.105267624580931
EE	0.582	0.68	0.563	0.631	0.54	0.638	0.409489786920133	0.000604982813443866	0.563525472691826
varDE	0.443	0.408	0.444	0.436	0.448	0.411	0.579830010338042	8.75858899814426e-05	0.30405526775964
EE	0.903	0.911	0.926	0.944	0.921	0.918	0.811789677649803	0.898552693103147	0.981495335605528
EE	0.948	0.589	0.946	0.609	0.951	0.578	0.367634936623052	0.00503853075136282	0.258970322671226
EE	0.321	0.267	0.24	0.257	0.252	0.282	0.14932476246875	0.0320681540639026	0.273394871506283
EE	0.169	0.107	0.174	0.113	0.184	0.134	0.621020514402551	0.0819024179623302	0.604169094390528
EE	0.385	0.872	0.351	0.798	0.341	0.739	0.378948499113745	0.000227275466024126	0.861850721012777
EE	0.194	0.33	0.203	0.325	0.239	0.409	0.169007591588666	4.37686952965858e-09	0.189047309042995
EE	0.595	0.473	0.632	0.423	0.662	0.444	0.473875795521702	0.0475604264987095	0.349781658579757
EE	0.886	0.781	0.854	0.773	0.855	0.712	0.539619403341271	0.0610058987316186	0.558292551396722
EE	0.421	0.246	0.385	0.248	0.443	0.281	0.563496052223305	0.0263892644240644	0.794531945723632
varDE	0.057	0.012	0.074	0.017	0.057	0.009	0.0865517476191383	2.25532919130088e-08	0.0365776632573734
EE	0.951	0.851	0.945	0.848	0.955	0.86	0.743434832768587	0.405486776751759	0.881923803313747
EE	0.629	0.348	0.686	0.332	0.546	0.233	0.494110911013369	0.00197746618887602	0.667744812102035
varDE	0.32	0.041	0.313	0.041	0.308	0.064	0.647824869635388	3.58546671068225e-11	0.0196469327420336
EE	0.302	0.858	0.301	0.887	0.296	0.866	0.710363531133114	0.0900555770212788	0.567401022887033
meanDE	0.07	0.064	0.061	0.063	0.052	0.057	0.0464376086223944	1.72612978355939e-21	0.0230362088350323
varDE	0.001	0.095	0.002	0.113	0.002	0.119	0.288494815604687	1.17398985001524e-13	0.00414049793424155
EE	0.405	0.353	0.319	0.284	0.319	0.329	0.235568448002385	0.00313410715299356	0.0615936796994743
EE	0.892	0.7	0.84	0.671	0.861	0.669	0.982596921409452	0.919340700493004	0.974707636422406
EE	0.404	0.238	0.403	0.251	0.413	0.231	0.380516036310523	0.0389497109431534	0.471334036798264
meanDE	0.018	0.046	0.025	0.053	0.034	0.056	0.00749763296496605	4.42640183601938e-12	0.00123907570606547
EE	0.43	0.515	0.456	0.535	0.446	0.527	0.470250279547729	0.000268066938369865	0.449743762473085
EE	0.804	0.812	0.766	0.776	0.796	0.815	0.467153872898075	0.0031483874374651	0.384704835084745
EE	0.479	0.231	0.458	0.227	0.434	0.197	0.643608713459682	0.245121658830023	0.416698992785706
EE	0.093	0.404	0.047	0.342	0.073	0.379	0.191471722144855	5.46898512767655e-33	0.0507134774956803
EE	0.337	0.196	0.368	0.23	0.352	0.197	0.164705506848052	0.00906853390812666	0.0547939228468553
EE	0.271	0.284	0.273	0.344	0.263	0.314	0.619455419647756	0.375170355763865	0.557045214507537
EE	0.131	0.352	0.081	0.231	0.1	0.251	0.121058915833827	6.16733321765581e-05	0.071907235286709
EE	0.588	0.845	0.598	0.881	0.623	0.863	0.663242815729586	0.358951948680448	0.730471061248202
EE	0.057	0.171	0.065	0.205	0.05	0.17	0.0539110278806897	0.000332605874490161	0.04291475373792
meanDE	0.307	0.698	0.287	0.726	0.329	0.668	0.268806409058381	3.67209699411948e-07	0.327619383026543
EE	0.462	0.292	0.497	0.269	0.483	0.3	0.149838349761862	0.00191883535705008	0.150110197691199
EE	0.453	0.237	0.417	0.204	0.469	0.253	0.12193541542925	1.57811071780163e-11	0.137554270800817
